id,status_group
50785,functional needs repair
51630,functional needs repair
17168,functional needs repair
45559,functional needs repair
49871,functional needs repair
52449,functional needs repair
24806,functional needs repair
28965,functional needs repair
36301,functional needs repair
54122,functional needs repair
419,functional needs repair
45750,functional needs repair
653,functional needs repair
14017,functional needs repair
44607,functional needs repair
40228,functional needs repair
27714,functional needs repair
28785,functional needs repair
28330,functional needs repair
18532,functional needs repair
69961,functional needs repair
55083,functional needs repair
8691,functional needs repair
30331,functional needs repair
70970,functional needs repair
61136,functional needs repair
28799,functional needs repair
46825,functional needs repair
44718,functional needs repair
37350,functional needs repair
65738,functional needs repair
3271,functional needs repair
42658,functional needs repair
67523,functional needs repair
37034,functional needs repair
42432,functional needs repair
27420,functional needs repair
707,functional needs repair
48489,functional needs repair
51008,functional needs repair
72562,functional needs repair
10275,functional needs repair
53540,functional needs repair
43291,functional needs repair
8813,functional needs repair
62343,functional needs repair
1649,functional needs repair
8822,functional needs repair
10352,functional needs repair
50878,functional needs repair
15266,functional needs repair
51956,functional needs repair
44099,functional needs repair
59,functional needs repair
51359,functional needs repair
15962,functional needs repair
17853,functional needs repair
42040,functional needs repair
72243,functional needs repair
63653,functional needs repair
26510,functional needs repair
72053,functional needs repair
29351,functional needs repair
51897,functional needs repair
20376,functional needs repair
26804,functional needs repair
67303,functional needs repair
69780,functional needs repair
45374,functional needs repair
54665,functional needs repair
39341,functional needs repair
8869,functional needs repair
20691,functional needs repair
19693,functional needs repair
14321,functional needs repair
63059,functional needs repair
67403,functional needs repair
28912,functional needs repair
12549,functional needs repair
24328,functional needs repair
13750,functional needs repair
1574,functional needs repair
44149,functional needs repair
53917,functional needs repair
22705,functional needs repair
66465,functional needs repair
15644,functional needs repair
20773,functional needs repair
33092,functional needs repair
54392,functional needs repair
37850,functional needs repair
5576,functional needs repair
60840,functional needs repair
9971,functional needs repair
57508,functional needs repair
25872,functional needs repair
43978,functional needs repair
38181,functional needs repair
24325,functional needs repair
2724,functional needs repair
34794,functional needs repair
56525,functional needs repair
63155,functional needs repair
67247,functional needs repair
23387,functional needs repair
17873,functional needs repair
18197,functional needs repair
24834,functional needs repair
4091,functional needs repair
33261,functional needs repair
44384,functional needs repair
62096,functional needs repair
64554,functional needs repair
68314,functional needs repair
53,functional needs repair
23426,functional needs repair
38259,functional needs repair
16631,functional needs repair
43162,functional needs repair
44492,functional needs repair
38884,functional needs repair
13690,functional needs repair
60335,functional needs repair
31856,functional needs repair
67891,functional needs repair
25564,functional needs repair
55293,functional needs repair
31866,functional needs repair
71178,functional needs repair
60279,functional needs repair
28615,functional needs repair
8744,functional needs repair
48308,functional needs repair
49626,functional needs repair
38098,functional needs repair
30309,functional needs repair
8015,functional needs repair
3496,functional needs repair
56971,functional needs repair
68616,functional needs repair
8646,functional needs repair
74104,functional needs repair
37501,functional needs repair
33001,functional needs repair
69202,functional needs repair
68409,functional needs repair
51847,functional needs repair
55647,functional needs repair
17923,functional needs repair
71743,functional needs repair
51539,functional needs repair
73819,functional needs repair
66881,functional needs repair
58768,functional needs repair
2648,functional needs repair
68933,functional needs repair
12427,functional needs repair
16633,functional needs repair
24123,functional needs repair
58551,functional needs repair
17132,functional needs repair
3027,functional needs repair
